movie_code,company_name
1000404,씨네마캣 픽쳐스
1000405,㈜주피터필름
1000406,이스트드림 시노펙스㈜
1000407,오퍼스픽쳐스
1000408,㈜태원엔터테인먼트
1000408,㈜시네마서비스
1000409,㈜스튜디오앤뉴
1000410,퍼니플럭스엔터테인먼트
1000411,㈜리공동체 영화사
1000412,수필름
1000413,(주)기억속의매미
1000414,㈜브레드이발소
1000415,클라이맥스 스튜디오
1000416,(주)오돌또기
1000417,㈜마스터원엔터테인먼트
1000418,(주)영화사 울림
1000419,㈜곰픽쳐스
1000419,㈜트러스트스튜디오
1000420,㈜셀트리온 엔터테인먼트
1000421,(주)26컴퍼니
1000422,㈜영화사 다
1000423,㈜영화사 테이크
1000424,한국영화아카데미
1000425,(주)오아시스이엔티
1000426,㈜곰픽쳐스
1000427,㈜퍼니플럭스
1000428,이스트스카이필름
1000428,어뮤즈엔터테인먼트
1000429,㈜홍필름
1000429,수필름
1000430,(주)스톰픽쳐스코리아
1000430,컴퍼니에이이엔티(주)
1000431,스튜디오홀호리(주)
1000432,㈜영화사비단길
1000432,수필름
1000433,(유)브이에스1호문화산업전문회사
1000433,㈜캠프비
1000433,㈜뱅가드스튜디오
1000434,레트로봇
1000435,㈜제이엠컬쳐스
1000435,㈜몬스터팩토리
1000436,쟈니브로스㈜
1000436,메가박스중앙㈜플러스엠
1000437,㈜아툰즈
1000438,㈜콘텐츠지
1000438,TCO㈜더콘텐츠온
1000439,휠므빠말
1000439,폭스 인터내셔널 프로덕션(코리아)
1000440,㈜화인웍스
1000440,유니온파트너스㈜
1000441,(주)하이브
1000442,㈜캐리소프트
1000443,(주)전망좋은영화사
1000444,리드미컬그린(주)
1000444,자이온 이엔티
1000445,언파스튜디오
1000445,어몽필름
1000446,㈜케이프로덕션
1000446,㈜플로우식스
1000446,㈜버티고필름
1000447,페퍼민트앤컴퍼니
1000448,㈜ 아이코닉스
1000448,㈜ 스튜디오 게일
1000449,㈜영화사 수박
1000449,㈜이디오플랜
1000450,영화사 올㈜
1000451,토닉프로젝트
1000451,아이뉴컴퍼니
1000452,㈜신영이엔씨
1000453,(주)삼지애니메이션
1000454,㈜데이드림엔터테인먼트
1000455,㈜브라더픽쳐스
1000455,㈜더콘텐츠온
1000456,삼삼공구 브라더스
1000457,리양필름㈜
1000458,㈜영화사 울림
1000458,㈜네이버 웹툰
1000459,㈜고스트픽처스
1000460,㈜콘텐츠지
1000460,TCO㈜더콘텐츠온
1000461,밀짚모자영화사㈜
1000462,리온픽쳐스㈜
1000463,㈜로드픽쳐스
1000464,영화사 우상
1000465,㈜삼지애니메이션
1000466,㈜MCMC
1000467,㈜인디스토리
1000468,표범영화사
1000469,(합)알지애니메이션스튜디오
1000470,KBS
1000471,래몽래인
1000472,제이오엔터테인먼트
1000473,스튜디오 이상한 나라의 원더랜드
1000474,㈜엠픽처스
1000474,점프엔터테인먼트
1000475,베러투모로우
1000475,나로픽처스
1000475,조이앤시네마
1000476,도티와영원의탑문화산업전문 유한회사
1000476,샌드박스네트워크
1000477,필마픽쳐스
1000477,㈜마당엔터테인먼트
1000477,㈜블루아이
1000478,더 램프
1000478,㈜감독의집
1000479,㈜삼지애니메이션
1000480,㈜아센디오
1000480,씨네마로엔터테인먼트
1000481,발자국공장
1000482,로커스
1000482,스튜디오N
1000483,(주)신씨네
1000483,북경마천륜문화전매유한공사
1000483,절강상하문화경기유한공사
1000483,절강항양문화미디어유한공사
1000484,쏘울 크리에이티브
1000484,애니맥스 브로드캐스팅 코리아 유한회사
1000485,㈜어바웃필름
1000486,㈜드림써치씨앤씨
1000488,CJ 4DPLEX ScreenX Studio
1000489,힘컨텐츠㈜
1000490,㈜삼지애니메이션
1000491,YG Entertainment
1000492,(주)엠씨엠씨
1000493,㈜스토리공감
1000493,트웰브져니㈜
1000494,㈜젠펙쳐스
1000495,㈜리퀴드브레인스튜디오
1000496,더퀸 D M㈜
1000497,㈜히스토리디앤피
1000497,디에이치미디어
1000497,굿픽처스
1000498,㈜슬기로운늑대
1000498,㈜초이스웰
1000498,㈜운상미디어
1000499,힘컨텐츠㈜
1000499,EBS
1000500,㈜아센디오
1000501,영화사 도로시㈜
1000501,㈜SH기획
1000502,YG엔터테인먼트
1000503,㈜스튜디오이크
1000503,CJ ENM
1000504,(주)비에이엔터테인먼트
1000505,㈜스톰픽쳐스코리아
1000505,㈜원픽쳐스
1000506,타임박스엔터테인먼트㈜
1000507,KBS
1000507,아센디오
1000508,㈜도어이앤엠
1000509,㈜초이락컨텐츠컴퍼니
1000510,㈜청우필름
1000511,㈜율
1000512,㈜태원엔터테인먼트
1000513,테이크원스튜디오
1000514,엠씨엠씨 스튜디오스카이
1000515,영화사 김치(주)
1000516,㈜26컴퍼니
1000517,삼지애니메이션
1000518,트웰브져니㈜
1000518,바젤레브스
1000519,㈜MCMC
1000519,무비락
1000520,LCO픽쳐스
1000521,파이오니아21
1000522,제이티비씨(주)
1000522,스토리웹
1000523,㈜시네마제니스
1000524,스튜디오 마로
1000525,휴메니테라픽쳐스 주식회사
1000526,㈜영화사 두둥
1000527,(주)스튜디오버튼
1000528,㈜스튜디오투유
1000529,(주)에스엠엔터테인먼트
1000530,골든스토리픽처스
1000531,㈜좋은하늘
1000532,하이컨셉픽쳐스㈜
1000533,㈜하이브
1000534,㈜26컴퍼니
1000535,㈜갤리온엔터테인먼트
1000536,주식회사 영화사 궁
1000537,㈜흥픽쳐스
1000538,디엔디픽쳐스
1000538,유한회사 안녕하세요
1000539,영화사 우상
1000540,㈜포켓돌스튜디오
1000541,(주)메이저타운
1000542,㈜빅스톤픽쳐스
1000543,㈜다다쇼
1000544,자루스튜디오
1000545,KBS
1000545,몬스터 유니온
1000546,KBS
1000546,㈜아센디오
1000547,㈜삼지애니메이션
1000548,JYP 엔터테인먼트
1000549,㈜스튜디오설
1000550,㈜하이브
1000551,㈜미학인우주선
1000552,백그림
1000553,㈜마로스튜디오
1000554,스마트스터디㈜
1000555,㈜도깨비미디어
1000555,주식회사 콘텐츠존
1000556,㈜중헌홀딩스
1000557,골든타이드픽처스㈜
1000558,주식회사 넘버쓰리픽쳐스
1000559,㈜슬기로운늑대
1000560,뉴크마그(주)
1000561,㈜다세포클럽
1000562,㈜케이드래곤
1000563,㈜로그라인스튜디오
1000563,㈜펀치라인필름
1000564,㈜도어 이앤엠
1000565,코알라컴퍼니
1000565,우쥬록스
1000565,씨제이 씨지브이㈜
1000566,골든타이드픽처스
1000567,GTG 픽쳐스
1000568,Luka Productions
1000568,Czech Anglo Productions
1000569,(주)컬처캡코리아
1000570,대원미디어
1000570,㈜스튜디오이온
1000571,CJ 엔터테인먼트
1000571,SM엔터테인먼트
1000571,로버트 코트 프로덕션
1000572,㈜크레이지버드 스튜디오
1000573,(주)무비포지
1000574,비투비 컴퍼니
1000575,(주)로이비쥬얼
1000576,㈜스튜디오고트
1000577,㈜DVC픽쳐스
1000577,北京娜拉文化传播有限公司(나라짱닷컴)
1000577,秦时明月影视文化传媒有限公司(친스밍위에공사
1000578,㈜리필름
1000579,(주)베러투모로우
1000579,나로픽처스(주)
1000580,넥슨 코리아
1000581,플레이리스트 주식회사
1000582,(주)삼지애니메이션
1000582,자그툰
1000583,KBS 미디어
1000584,(주)니즈텔레콤
1000585,(주)네오스카이인터내셔날
1000586,브랜뉴뮤직
1000586,씨제이 씨지브이㈜
1000587,㈜디에이치미디어
1000588,㈜하이컨셉픽쳐스
1000588,㈜더그레이트컴퍼니
1000589,창컴퍼니㈜
1000589,㈜메가커뮤니케이션즈
1000590,(주)블랙홀엔터테인먼트
1000590,(주)라쉬반
1000591,㈜씨씨에스엔터테인먼트
1000591,펠릭스 더 캣 스튜디오
1000591,㈜루크필름
1000592,파괴연구소
1000593,(주)로그라인스튜디오
1000593,(주)스튜디오킬러웨일
1000594,㈜영화사 필
1000594,TCO㈜더콘텐츠온
1000595,㈜담소필름
1000596,㈜더재미
1000596,㈜강천산픽쳐스
1000596,대쉬필름
1000597,(주)영화사 조은
1000598,㈜그리메
1000599,㈜미스터리픽처스
1000600,씨제이포디플렉스
1000601,굿픽처스
1000602,파이오니아21
1000603,피터팬 픽쳐스
1000604,㈜지티지그룹
1000605,모그픽쳐스
1000605,더그레이트컴퍼니
1000606,㈜그노스
1000606,꿀잼컴퍼니㈜
1000607,아폴론시네마
1000607,롯데쇼핑㈜롯데엔터테인먼트
1000608,간이역(유)
1000609,아이피큐
1000609,엠오디티
1000610,백그림
1000611,㈜그노스
1000612,파이오니아21
1000613,㈜그린피쉬
1000613,㈜동국제약
1000614,KBS
1000614,㈜아센디오
1000615,㈜시네마서울
1000615,K-STAR 엔터테인먼트
1000615,스타다닷컴
