movie_code,genre_name
1000436,공포
1000436,옴니버스
1000437,어드벤처
1000438,코메디
1000438,액션
1000439,드라마
1000439,액션
1000439,범죄
1000440,드라마
1000440,공포
1000440,스릴러
1000441,뮤직
1000441,인물
1000442,아동
1000443,코메디
1000443,드라마
1000444,미스터리
1000444,스릴러
1000445,코메디
1000445,범죄
1000445,스릴러
1000445,공포
1000446,공포
1000446,스릴러
1000447,스릴러
1000448,아동
1000449,드라마
1000449,범죄
1000450,미스터리
1000450,스릴러
1000451,공포
1000451,미스터리
1000452,코메디
1000452,범죄
1000453,액션
1000454,판타지
1000454,코메디
1000454,드라마
1000455,SF
1000455,코메디
1000455,스릴러
1000456,코메디
1000456,범죄
1000457,범죄
1000457,액션
1000458,드라마
1000458,청춘영화
1000459,공포
1000459,미스터리
1000460,액션
1000460,범죄
1000460,스릴러
1000461,드라마
1000462,전기
1000462,드라마
1000463,스릴러
1000463,SF
1000464,드라마
1000464,코메디
1000465,아동
1000465,액션
1000466,코메디
1000467,드라마
1000468,멜로/로맨스
1000468,드라마
1000469,코메디
1000470,인물
1000470,종교
1000471,멜로/로맨스
1000471,코메디
1000472,시대극/사극
1000472,드라마
1000472,뮤지컬
1000473,드라마
1000473,멜로/로맨스
1000474,범죄
1000474,스릴러
1000475,범죄
1000475,스릴러
1000476,어드벤처
1000476,판타지
1000477,공포
1000478,드라마
1000478,코메디
1000479,어드벤처
1000480,액션
1000481,공포
1000481,스릴러
1000481,미스터리
1000482,드라마
1000483,멜로드라마
1000483,코메디
1000484,아동
1000485,드라마
1000485,코메디
1000486,드라마
1000486,판타지
1000486,가족
1000487,어드벤처
1000488,뮤직
1000488,인물
1000489,어드벤처
1000489,가족
1000489,아동
1000489,뮤지컬
1000490,액션
1000490,어드벤처
1000491,인물
1000491,뮤직
1000492,액션
1000492,범죄
1000493,공포
1000493,스릴러
1000494,코메디
1000494,범죄
1000495,어드벤처
1000496,코메디
1000496,액션
1000497,드라마
1000498,코메디
1000498,드라마
1000499,뮤지컬
1000499,가족
1000500,액션
1000500,범죄
1000501,드라마
1000501,미스터리
1000502,인물
1000503,어드벤처
1000503,액션
1000503,판타지
1000504,코메디
1000504,멜로/로맨스
1000505,미스터리
1000505,스릴러
1000506,드라마
1000506,옴니버스
1000507,공포
1000508,공포
1000509,어드벤처
1000510,드라마
1000510,코메디
1000511,드라마
1000511,스릴러
1000512,코메디
1000513,드라마
1000513,공포
1000513,미스터리
1000513,스릴러
1000514,공포
1000515,코메디
1000515,드라마
1000516,드라마
1000517,액션
1000517,어드벤처
1000518,멜로/로맨스
1000518,코메디
1000519,드라마
1000520,드라마
1000520,스릴러
1000521,사회
1000521,인권
1000521,인물
1000522,드라마
1000523,드라마
1000523,코메디
1000524,어드벤처
1000525,액션
1000525,드라마
1000526,코메디
1000526,멜로/로맨스
1000526,가족
1000527,어드벤처
1000528,공포
1000528,옴니버스
1000529,인물
1000529,뮤직
1000530,드라마
1000530,코메디
1000531,드라마
1000531,액션
1000531,갱스터
1000532,공포
1000532,미스터리
1000533,인물
1000533,뮤직
1000533,로드무비
1000534,액션
1000534,하이틴(고교)
1000535,멜로/로맨스
1000536,공포
1000536,옴니버스
1000537,인물
1000538,드라마
1000539,공포
1000539,미스터리
1000540,인물
1000540,뮤직
1000541,드라마
1000542,액션
1000542,드라마
1000542,전쟁
1000542,시대극/사극
1000543,드라마
1000543,멜로/로맨스
1000543,판타지
1000543,뮤지컬
1000544,드라마
1000545,스릴러
1000546,범죄
1000546,드라마
1000546,스릴러
1000547,액션
1000547,어드벤처
1000548,뮤직
1000548,인물
1000549,액션
1000549,코메디
1000550,뮤직
1000550,인물
1000551,액션
1000551,범죄
1000551,스릴러
1000552,드라마
1000553,뮤직
1000554,어드벤처
1000555,코메디
1000555,드라마
1000555,멜로/로맨스
1000555,판타지
1000556,인물
1000557,미스터리
1000557,스릴러
1000558,코메디
1000558,멜로/로맨스
1000558,드라마
1000559,공포
1000559,판타지
1000560,드라마
1000561,드라마
1000561,스릴러
1000562,판타지
1000562,멜로/로맨스
1000563,드라마
1000563,판타지
1000564,액션
1000565,자연ㆍ환경
1000565,인물
1000566,공포
1000567,사회
1000568,액션
1000568,어드벤처
1000569,코메디
1000570,액션
1000570,어드벤처
1000571,드라마
1000572,드라마
1000572,아동
1000573,드라마
1000573,멜로드라마
1000573,코메디
1000574,인물
1000574,지역
1000574,자연ㆍ환경
1000574,뮤직
1000575,아동
1000576,미스터리
1000576,스릴러
1000577,드라마
1000577,가족
1000578,드라마
1000578,멜로드라마
1000579,스릴러
1000580,뮤직
1000581,판타지
1000581,멜로/로맨스
1000581,스릴러
1000582,어드벤처
1000582,아동
1000583,역사
1000584,뮤직
1000585,문화
1000585,기업ㆍ기관ㆍ단체
1000585,인물
1000586,드라마
1000586,인물
1000586,뮤직
1000587,액션
1000587,어드벤처
1000587,시대극/사극
1000588,범죄
1000588,드라마
1000589,코메디
1000590,범죄
1000590,액션
1000590,드라마
1000591,어드벤처
1000592,드라마
1000593,멜로/로맨스
1000593,미스터리
1000594,범죄
1000594,액션
1000594,스릴러
1000595,멜로드라마
1000596,드라마
1000596,액션
1000597,시대극/사극
1000597,드라마
1000598,액션
1000598,가족
1000598,어드벤처
1000598,판타지
1000599,공포
1000599,멜로/로맨스
1000599,스릴러
1000600,어드벤처
1000600,실험
1000601,액션
1000601,범죄
1000602,종교
1000603,범죄
1000603,스릴러
1000604,코메디
1000604,드라마
1000604,멜로/로맨스
1000604,가족
1000605,액션
1000606,액션
1000606,코메디
1000607,드라마
1000607,미스터리
1000607,스릴러
1000607,액션
1000608,드라마
1000609,드라마
1000609,멜로/로맨스
1000609,뮤직
1000610,코메디
1000610,드라마
1000611,공포
1000611,미스터리
1000611,스릴러
1000612,종교
1000613,액션
1000614,드라마
1000615,드라마
1000616,드라마
1000616,멜로/로맨스
1000616,코메디
1000617,드라마
1000618,범죄
1000618,드라마
1000619,멜로/로맨스
1000620,드라마
1000620,SF
1000621,드라마
1000622,코메디
1000623,코메디
1000623,공포
1000624,판타지
1000624,드라마
1000625,드라마
1000626,드라마
1000626,멜로드라마
1000626,코메디
1000627,드라마
1000627,뮤지컬
1000628,공포
1000629,드라마
1000629,멜로/로맨스
1000630,드라마
1000631,멜로/로맨스
1000631,코메디
1000632,공포
1000633,드라마
1000634,코메디
1000635,멜로드라마
1000636,드라마
1000637,드라마
1000637,판타지
1000638,드라마
1000638,액션
1000639,코메디
1000640,멜로/로맨스
1000640,뮤직
1000641,미스터리
1000642,드라마
1000642,인물
1000642,지역
1000642,종교
1000643,코메디
1000643,가족
1000643,액션
1000643,드라마
1000644,액션
1000645,액션
1000645,범죄
1000646,미스터리
1000646,스릴러
1000646,액션
1000646,범죄
1000647,스릴러
1000648,코메디
1000649,액션
1000649,드라마
1000650,코메디
1000651,액션
1000651,느와르
1000652,드라마
1000653,스릴러
1000654,멜로드라마
1000655,뮤직
1000655,코메디
1000655,액션
1000656,멜로/로맨스
1000657,자연ㆍ환경
1000658,드라마
1000658,공포
1000659,드라마
1000659,뮤직
1000660,"""드라마"
1000662,코메디
1000662,드라마
1000662,SF
1000663,액션
1000663,드라마
1000663,코메디
1000664,드라마
1000665,멜로드라마
1000665,코메디
1000666,멜로드라마
1000667,뮤직
1000668,스릴러
1000668,미스터리
1000668,공포
1000669,드라마
1000669,멜로/로맨스
1000669,판타지
1000670,미스터리
1000670,스릴러
1000671,자연ㆍ환경
1000672,드라마
1000672,코메디
1000672,멜로/로맨스
1000673,드라마
1000674,스릴러
1000675,드라마
1000676,드라마
1000677,멜로드라마
1000678,코메디
1000678,공포
1000678,멜로/로맨스
1000679,멜로/로맨스
1000679,판타지
1000679,공포
1000680,스릴러
1000680,액션
1000681,드라마
1000682,드라마
1000682,멜로드라마
1000682,코메디
1000683,코메디
1000684,공포
1000684,스릴러
1000685,공포
1000686,드라마
1000687,드라마
1000687,멜로/로맨스
1000688,드라마
