movie_code,week,sales,audience,screens
1000606,1,3037000,389,128
1000607,1,2956000,396,113
1000608,1,1193370,138,55
1000609,1,,,
1000610,1,2432770,361,78
1000611,1,6503560,999,54
1000612,1,2804900,383,25
1000613,1,6522050,1098,80
1000614,1,18124200,1332,12
1000615,1,4045000,321,10
1000616,1,3348900,346,59
1000617,1,8289500,883,64
1000618,1,2954910,469,37
1000619,1,,,
1000620,1,3173000,367,154
1000621,1,3173960,398,30
1000622,1,3002500,393,138
1000623,1,2791440,314,93
1000624,1,,,
1000625,1,,,
1000626,1,2796000,377,87
1000627,1,,,
1000628,1,441500,74,8
1000629,1,,,
1000630,1,5955600,454,9
1000631,1,2543440,410,21
1000632,1,4956500,538,71
1000633,1,,,
1000634,1,1821500,260,65
1000635,1,,,
1000636,1,4567000,873,21
1000637,1,2909000,194,15
1000638,1,,,
1000639,1,2951500,465,27
1000640,1,610100,81,35
1000641,1,1552000,259,20
1000642,1,805000,115,4
1000643,1,2095000,261,74
1000644,1,1729780,226,66
1000645,1,2162500,229,80
1000646,1,1650000,272,19
1000647,1,1713198,197,80
1000648,1,4146000,852,20
1000649,1,,,
1000650,1,1601800,269,38
1000651,1,1029300,101,41
1000652,1,481000,62,25
1000653,1,1453200,165,70
1000654,1,727500,99,27
1000655,1,,,
1000656,1,4146000,912,20
1000657,1,974000,174,60
1000658,1,243000,27,1
1000659,1,992200,102,26
1000660,1,1063500,71,16
1000662,1,830500,98,11
1000663,1,2326000,289,44
1000664,1,8419000,1729,50
1000665,1,5821000,1164,21
1000666,1,3415000,760,21
1000667,1,,,
1000668,1,64000,8,3
1000669,1,1411500,136,29
1000670,1,697000,131,4
1000671,1,253000,21,7
1000672,1,972500,136,30
1000673,1,1824000,330,20
1000674,1,2113000,436,20
1000675,1,362000,42,1
1000676,1,988000,76,1
1000677,1,4453000,1012,20
1000678,1,1889500,269,22
1000679,1,1281000,138,6
1000680,1,2500000,500,50
1000681,1,564500,62,24
1000682,1,134000,18,3
1000683,1,,,
1000684,1,1032700,177,18
1000685,1,272000,76,1
1000686,1,222500,24,14
1000687,1,2288000,442,20
1000688,1,1585000,299,19
1000001,2,2710335900,331924,8797
1000002,2,5243409900,705070,6258
1000003,2,3691412950,366223,12071
1000004,2,1665519348,179084,8339
1000005,2,2974413400,401449,6955
1000006,2,3656005238,374492,8253
1000007,2,1455888000,198552,4491
1000008,2,4480727569,473054,15346
1000009,2,3062333800,404907,5009
1000010,2,4567997674,470910,12629
1000011,2,8458786450,1078012,10079
1000012,2,3280771000,435039,6497
1000013,2,4825521000,651779,7293
1000014,2,5006286500,663365,9092
1000015,2,5893815975,667826,8806
1000016,2,3184867870,391904,7129
1000017,2,3496097100,466676,7359
1000018,2,2392971676,236941,10191
1000019,2,7298308092,755086,13928
1000020,2,2787855018,285121,10359
1000021,2,3651374520,424215,9106
1000022,2,1890503200,254862,3932
1000023,2,1063411600,141569,4157
1000024,2,947878000,138364,2740
1000025,2,1947281450,260642,5635
1000026,2,1405618800,190883,4733
1000027,2,1655660700,221304,
1000028,2,2616224500,347324,6615
1000029,2,2705343520,360239,3962
1000030,2,2321271547,283518,4638
1000031,2,2594401888,315620,4832
1000032,2,1737787900,206458,2464
1000033,2,3411461909,409661,5169
1000034,2,2635577800,354500,4803
1000035,2,4121166500,559467,10219
1000036,2,1809387727,189507,8946
1000037,2,1674687200,223381,6447
1000038,2,1020541800,133051,4795
1000039,2,1266801000,170284,3296
1000040,2,1581405882,170130,7529
1000041,2,1720865496,173395,6724
1000042,2,1373169850,170213,5005
1000043,2,1881699200,254034,3320
1000044,2,2042922400,277400,5700
1000045,2,1810239800,238039,5395
1000046,2,1318718300,161146,5241
1000047,2,2018366164,223746,8578
1000048,2,2351984800,293161,4329
1000049,2,2211539486,272689,4988
1000050,2,2774779700,334864,7588
1000051,2,2222870960,276819,5825
1000052,2,3998199020,442565,6188
1000053,2,2367497760,285470,9957
1000054,2,1569799134,167935,6636
1000055,2,1206239000,164931,4741
1000056,2,2318547610,288951,5455
1000057,2,1969080600,259971,4824
1000058,2,852977100,89824,6687
1000059,2,1870312540,223737,11846
1000060,2,633449261,66802,5516
1000061,2,773536691,83910,4830
1000062,2,1041255700,137708,3339
1000063,2,1641943500,224945,
1000064,2,739641400,82308,3435
1000065,2,4655991000,552722,5390
1000066,2,1411054550,181581,5709
1000067,2,1133875510,142021,7069
1000068,2,2686447900,359186,4828
1000069,2,1407617270,170543,5379
1000070,2,1407813290,170825,
1000071,2,1659580484,201477,3733
1000072,2,1092421530,136261,5272
1000073,2,856045100,112992,3455
1000074,2,982667700,134742,2224
1000075,2,8098000,998,156
1000076,2,770347800,94414,3980
1000077,2,840713400,107280,3271
1000078,2,740120400,92253,4809
1000079,2,8312204470,847790,9859
1000080,2,977151436,121355,5342
1000081,2,2460434860,285221,5191
1000082,2,736813734,80960,5899
1000083,2,1641165534,194224,4453
1000084,2,915333400,114367,4761
1000085,2,625037100,76677,3389
1000086,2,860554400,114294,4500
1000087,2,1009937600,136871,
1000088,2,1672712386,205567,4278
1000089,2,1161505800,154618,3110
1000090,2,1303703300,161783,3605
1000091,2,912146400,117945,3713
1000092,2,1125737220,120111,6150
1000093,2,1073134200,143225,4421
1000094,2,406751515,42901,3603
1000095,2,641685700,85399,4317
1000096,2,1993371360,207112,7351
1000097,2,971434620,122587,4638
1000098,2,1426211000,193863,2864
1000099,2,994961160,120703,4719
1000100,2,1745192570,233804,5802
1000101,2,669567010,85900,3339
1000102,2,1551046539,186738,3784
