movie_code,distributor_name
1000343,월트디즈니컴퍼니코리아 유한책임회사
1000344,(주)시네마서비스
1000345,(주)키다리이엔티
1000345,주식회사 키위컴퍼니
1000346,씨제이 씨지브이(CJ CGV)(주)
1000347,(주)리틀빅픽쳐스
1000347,(주)이수C&E
1000348,(주)키다리이엔티
1000349,CGV아트하우스
1000350,롯데쇼핑㈜롯데엔터테인먼트
1000351,롯데쇼핑㈜롯데엔터테인먼트
1000352,롯데컬처웍스(주)롯데엔터테인먼트
1000353,워너브러더스 코리아(주)
1000354,롯데쇼핑㈜롯데엔터테인먼트
1000355,월트디즈니컴퍼니코리아 유한책임회사
1000356,(주)콘텐츠지오
1000356,(주)키다리스튜디오
1000356,㈜아티스트컴퍼니
1000357,판씨네마(주)
1000358,CGV아트하우스
1000359,(주)넥스트엔터테인먼트월드(NEW)
1000360,(주)넥스트엔터테인먼트월드(NEW)
1000361,(주)쇼박스
1000362,메가박스중앙(주) 플러스엠 엔터테인먼트
1000363,(주)쇼박스
1000364,(주)마인드마크
1000365,(주)넥스트엔터테인먼트월드(NEW)
1000366,(주)프레인글로벌
1000367,(주)바른손이앤에이
1000368,판씨네마(주)
1000369,메가박스중앙(주) 플러스엠 엔터테인먼트
1000370,메가박스중앙(주) 플러스엠 엔터테인먼트
1000371,CGV아트하우스
1000372,씨제이 씨지브이(CJ CGV)(주)
1000373,(주)프레인글로벌
1000374,메가박스중앙(주) 플러스엠 엔터테인먼트
1000375,워너브러더스 코리아(주)
1000376,(주)씨제이이엔엠
1000377,(주)넥스트엔터테인먼트월드(NEW)
1000378,(주)씨제이이엔엠
1000378,주식회사 티빙
1000379,롯데컬처웍스(주)롯데엔터테인먼트
1000380,워너브러더스 코리아(주)
1000381,(주)씨제이이엔엠
1000382,메가박스중앙(주) 플러스엠 엔터테인먼트
1000383,(주)씨제이이엔엠
1000384,(주)인벤트스톤
1000385,메가박스중앙(주) 플러스엠 엔터테인먼트
1000386,(주)씨제이이엔엠
1000387,(주)넥스트엔터테인먼트월드(NEW)
1000388,(주)그노스
1000389,(주)키다리이엔티
1000390,워너브러더스 코리아(주)
1000391,(주)리틀빅픽쳐스
1000392,(주)쇼박스
1000393,롯데컬처웍스(주)롯데엔터테인먼트
1000394,오퍼스픽쳐스(유)
1000394,CGV아트하우스
1000395,(주)키다리스튜디오
1000396,(주)제이앤씨미디어그룹
1000396,TCO(주)더콘텐츠온
1000397,(주)리틀빅픽쳐스
1000398,(주)와우픽쳐스
1000398,(주)쇼박스
1000399,씨제이 씨지브이(CJ CGV)(주)
1000399,(주)케이티알파
1000400,씨제이 씨지브이(CJ CGV)(주)
1000400,씨제이포디플렉스 주식회사
1000401,(주)에이스메이커무비웍스
1000402,(주)쇼박스
1000403,(주)에이스메이커무비웍스
1000404,(주)에이스메이커무비웍스
1000405,(주)리틀빅픽쳐스
1000406,롯데컬처웍스(주)롯데엔터테인먼트
1000407,(주)키위미디어그룹
1000407,오퍼스픽쳐스(유)
1000407,(주)씨네필운
1000408,(주)넥스트엔터테인먼트월드(NEW)
1000409,(주)넥스트엔터테인먼트월드(NEW)
1000410,(주)넥스트엔터테인먼트월드(NEW)
1000411,CGV아트하우스
1000412,(주)에이스메이커무비웍스
1000413,롯데쇼핑㈜롯데엔터테인먼트
1000414,롯데컬처웍스(주)롯데엔터테인먼트
1000415,(주)씨제이이엔엠
1000416,(주)넥스트엔터테인먼트월드(NEW)
1000417,TCO(주)더콘텐츠온
1000417,씨제이 씨지브이(CJ CGV)(주)
1000418,(주)리틀빅픽쳐스
1000419,(주)리틀빅픽쳐스
1000420,(주)셀트리온엔터테인먼트
1000421,오퍼스픽쳐스(유)
1000422,(주)대명문화공장
1000422,(주)리틀빅픽쳐스
1000423,(주)에이스메이커무비웍스
